age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
44,blue-collar,married,secondary,no,794,yes,no,cellular,5,feb,342,1,252,1,other,no
48,management,married,tertiary,no,1808,yes,no,cellular,26,feb,245,1,-1,0,unknown,yes
54,technician,married,secondary,no,0,no,no,cellular,6,nov,464,5,192,8,other,yes
35,management,married,tertiary,no,43,no,no,cellular,11,aug,917,4,-1,0,unknown,yes
43,technician,single,secondary,no,451,no,no,cellular,12,aug,289,2,-1,0,unknown,yes
44,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,3,-1,0,unknown,yes
30,technician,single,primary,no,2731,yes,no,cellular,14,apr,314,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,2039,yes,no,cellular,8,may,729,1,-1,0,unknown,yes
53,services,divorced,primary,no,778,yes,no,cellular,17,apr,221,2,-1,0,unknown,no
35,technician,married,secondary,no,6,yes,no,cellular,11,may,204,2,348,2,failure,no
47,blue-collar,married,secondary,no,2787,no,no,cellular,11,aug,479,1,-1,0,unknown,yes
32,management,married,secondary,no,6217,yes,yes,cellular,18,nov,486,2,181,2,failure,no
59,retired,divorced,secondary,no,1,no,no,cellular,19,aug,335,1,-1,0,unknown,yes
34,technician,single,secondary,no,559,no,no,cellular,22,aug,259,2,-1,0,unknown,no
49,admin.,married,secondary,no,10250,yes,no,telephone,24,oct,97,1,-1,0,unknown,yes
40,blue-collar,married,secondary,no,679,yes,no,cellular,17,apr,642,2,304,1,failure,no
47,blue-collar,married,secondary,no,802,yes,yes,cellular,12,may,289,2,-1,0,unknown,yes
46,technician,married,unknown,no,3308,no,no,cellular,28,jul,219,2,-1,0,unknown,yes
77,retired,married,primary,no,29340,no,no,cellular,15,mar,257,1,91,2,other,yes
49,management,married,tertiary,no,0,no,no,telephone,17,oct,223,1,-1,0,unknown,yes
34,management,married,tertiary,no,118,no,yes,telephone,17,jul,171,3,-1,0,unknown,no
30,management,single,tertiary,no,640,no,no,cellular,6,feb,124,4,213,2,failure,no
37,technician,single,tertiary,no,197,no,no,cellular,15,feb,531,1,91,2,success,yes
31,admin.,single,secondary,no,0,yes,no,cellular,7,may,895,2,295,2,failure,yes
47,entrepreneur,married,tertiary,no,0,no,no,cellular,16,feb,261,2,-1,0,unknown,yes
57,technician,married,secondary,no,458,no,yes,cellular,15,jul,177,3,-1,0,unknown,no
42,services,married,secondary,no,1301,yes,no,cellular,21,jul,510,6,-1,0,unknown,no
53,unknown,married,unknown,no,549,no,no,telephone,28,jan,74,2,-1,0,unknown,no
49,self-employed,married,tertiary,no,599,no,no,cellular,12,aug,174,1,-1,0,unknown,no
34,technician,married,tertiary,no,7050,no,no,cellular,7,aug,130,1,-1,0,unknown,yes
45,technician,married,secondary,no,2776,yes,no,cellular,27,jul,287,2,181,1,success,yes
32,blue-collar,married,secondary,no,889,yes,no,cellular,10,sep,185,1,99,5,success,yes
31,unknown,married,secondary,no,111,no,no,cellular,21,nov,504,2,93,2,failure,yes
53,blue-collar,married,unknown,no,111,no,no,unknown,20,jun,39,3,-1,0,unknown,no
53,management,married,tertiary,no,3634,no,no,cellular,7,may,211,4,88,8,success,yes
34,blue-collar,single,tertiary,no,1168,no,no,cellular,6,feb,163,2,-1,0,unknown,no
38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,-1,0,unknown,yes
